fecha;pais;ingresos;costos;procentaje_mujeres;exportaciones;importaciones;endeudamiento;morosidad;reservas;spread;tasa_interes
01-05-2012;chile;12,7472;2,008;0,4009;2,2597;1,315;0,4735;0,0356;2,0728;0,0312;0,0796
01-06-2012;chile;12,9094;2,006;0,401;2,2592;1,315;0,4765;0,0367;2,0586;0,0289;0,078
01-07-2012;chile;13,0519;2,043;0,4038;2,2576;1,32;0,4805;0,0388;2,0601;0,0259;0,0753
01-08-2012;chile;12,8967;2,012;0,4001;2,2625;1,31;0,4834;0,0341;2,0854;0,0305;0,0789
01-09-2012;chile;12,9847;1,996;0,3979;2,2645;1,305;0,4827;0,0379;2,0696;0,0295;0,0784
01-10-2012;chile;12,9924;1,978;0,3954;2,2674;1,3;0,4774;0,0379;2,0316;0,028;0,0775
01-11-2012;chile;12,9615;1,98;0,3945;2,2665;1,299;0,4741;0,0362;2,0224;0,0289;0,0789
01-12-2012;chile;13,1064;1,971;0,3925;2,275;1,29;0,4779;0,0319;1,998;0,0303;0,0789
01-01-2013;chile;13,1038;1,965;0,3941;2,266;1,297;0,5202;0,0365;2,0324;0,0322;0,0777
01-02-2013;chile;13,2994;1,954;0,3921;2,2673;1,294;0,5107;0,0353;2,0396;0,0254;0,0763
01-03-2013;chile;13,4229;1,962;0,3931;2,2695;1,293;0,5059;0,0369;2,0561;0,025;0,0757
01-04-2013;chile;13,1099;1,962;0,3928;2,272;1,29;0,5032;0,0371;2,1196;0,0241;0,0744
01-05-2013;chile;12,9601;1,949;0,3909;2,2765;1,284;0,5122;0,0374;2,1217;0,0221;0,0727
01-06-2013;chile;12,9019;1,971;0,3917;2,2789;1,283;0,5159;0,037;2,0341;0,0199;0,0702
01-07-2013;chile;12,8204;1,968;0,391;2,2798;1,282;0,5323;0,0378;2,0704;0,0155;0,0663
01-08-2013;chile;12,6458;1,968;0,3942;2,2788;1,287;0,5051;0,0363;2,1019;0,0192;0,0696
01-09-2013;chile;12,9072;1,982;0,3978;2,2781;1,293;0,5041;0,0378;2,1388;0,0227;0,0733
01-10-2013;chile;12,9875;1,985;0,3947;2,2824;1,284;0,5012;0,0372;2,1686;0,0231;0,0725
01-11-2013;chile;12,7486;1,972;0,3948;2,2822;1,285;0,5029;0,036;2,1692;0,0238;0,0706
01-12-2013;chile;13,0782;1,986;0,3972;2,2836;1,288;0,5026;0,0348;2,1721;0,0196;0,0649
01-01-2014;chile;12,8478;1,986;0,3962;2,2878;1,283;0,4968;0,0367;2,1951;0,0186;0,0637
01-02-2014;chile;12,9235;1,988;0,3959;2,2879;1,282;0,5036;0,0364;2,1915;0,0209;0,0651
01-03-2014;chile;12,9578;1,995;0,3945;2,2931;1,276;0,4995;0,0387;2,2327;0,0209;0,0622
