fecha;pais;ingresos;costos;procentaje_muejeres;exportaciones;importaciones;endeudamiento;morosidad;reservas;spread;tasa_interes
01-05-2012;peru;14,0194;3,3039;0,55537;1,97253;1,9637;0,71935;0,0051;0,1351;0,04791;0,06761
01-06-2012;peru;14,25261;3,3227;0,55622;1,97222;1,9684;0,72088;0,0049;0,08803;0,04704;0,06774
01-07-2012;peru;13,55008;3,2974;0,55297;1,97393;1,9583;0,7213;0,004;0,08965;0,04555;0,06775
01-08-2012;peru;13,41888;3,2957;0,55347;1,97302;1,9594;0,72168;0,0057;7,74708;0,04381;0,06741
01-09-2012;peru;13,24569;3,3319;0,55791;1,96928;1,9755;0,7213;0,0043;0,29192;0,04336;0,06726
01-10-2012;peru;13,02833;3,3073;0,55586;1,97334;1,9639;0,7225;0,0045;0,15775;0,04308;0,06748
01-11-2012;peru;13,18744;3,333;0,55755;1,97257;1,9719;0,72073;0,0042;0,21162;0,04615;0,06725
01-12-2012;peru;13,70679;3,3384;0,55605;1,97687;1,9673;0,72251;0,0039;0,14613;0,04904;0,06684
01-01-2013;peru;13,7429;3,3458;0,55491;1,98222;1,9653;0,85544;0,0039;0,15312;0,05048;0,06578
01-02-2013;peru;13,63995;3,3518;0,55362;1,97921;1,9681;0,85264;0,0041;0,16176;0,05204;0,06504
01-03-2013;peru;14,12164;3,315;0,55248;1,98323;1,955;0,85109;0,0044;0,12763;0,05572;0,06492
01-04-2013;peru;14,21724;3,2881;0,55218;1,98118;1,9527;0,85439;0,0047;0,13512;0,05532;0,06582
01-05-2013;peru;14,08077;3,2964;0,55248;1,9815;1,9535;0,85773;0,0039;0,16099;0,05491;0,06621
01-06-2013;peru;14,17758;3,3052;0,55348;1,97643;1,9625;0,85937;0,0037;0,17425;0,05561;0,06651
01-07-2013;peru;13,84117;3,3342;0,55371;1,97287;1,9712;0,86148;0,0046;0,16981;0,05564;0,06654
01-08-2013;peru;13,64864;3,3218;0,55307;1,9697;1,972;0,86299;0,0044;0,13041;0,05528;0,06658
01-09-2013;peru;13,44384;3,3186;0,55217;1,97069;1,9691;0,86456;0,0039;0,12925;0,05572;0,06662
