fecha;pais;ingresos;costos;procentaje_mujeres;exportaciones;importaciones;endeudamiento;morosidad;reservas;spread;tasa_interes
01-05-2012;chile;12,7472;2,008;0,4009;2,2597;1,315;0,4735;0,06;2,07;0,07;0,12
01-06-2012;chile;12,9094;2,006;0,401;2,2592;1,315;0,4765;0,06;2,06;0,07;0,12
01-07-2012;chile;13,0519;2,043;0,4038;2,2576;1,32;0,4805;0,06;2,06;0,07;0,11
01-08-2012;chile;12,8967;2,012;0,4001;2,2625;1,31;0,4834;0,06;2,09;0,07;0,11
01-09-2012;chile;12,9847;1,996;0,3979;2,2645;1,305;0,4827;0,06;2,07;0,07;0,11
01-10-2012;chile;12,9924;1,978;0,3954;2,2674;1,3;0,4774;0,06;2,03;0,07;0,11
01-11-2012;chile;12,9615;1,98;0,3945;2,2665;1,299;0,4741;0,06;2,02;0,06;0,11
01-12-2012;chile;13,1064;1,971;0,3925;2,275;1,29;0,4779;0,06;2;0,07;0,11
01-01-2013;chile;13,1038;1,965;0,3941;2,266;1,297;0,5202;0,06;2,03;0,07;0,11
01-02-2013;chile;13,2994;1,954;0,3921;2,2673;1,294;0,5107;0,06;2,04;0,06;0,11
01-03-2013;chile;13,4229;1,962;0,3931;2,2695;1,293;0,5059;0,06;2,06;0,06;0,11
01-04-2013;chile;13,1099;1,962;0,3928;2,272;1,29;0,5032;0,06;2,12;0,06;0,11
01-05-2013;chile;12,9601;1,949;0,3909;2,2765;1,284;0,5122;0,06;2,12;0,05;0,1
01-06-2013;chile;12,9019;1,971;0,3917;2,2789;1,283;0,5159;0,07;2,03;0,05;0,1
01-07-2013;chile;12,8204;1,968;0,391;2,2798;1,282;0,5323;0,07;2,07;0,05;0,1
01-08-2013;chile;12,6458;1,968;0,3942;2,2788;1,287;0,5051;0,06;2,1;0,05;0,1
01-09-2013;chile;12,9072;1,982;0,3978;2,2781;1,293;0,5041;0,07;2,14;0,05;0,1
01-10-2013;chile;12,9875;1,985;0,3947;2,2824;1,284;0,5012;0,07;2,17;0,05;0,1
01-11-2013;chile;12,7486;1,972;0,3948;2,2822;1,285;0,5029;0,07;2,17;0,05;0,1
01-12-2013;chile;13,0782;1,986;0,3972;2,2836;1,288;0,5026;0,06;2,17;0,05;0,1
01-01-2014;chile;12,8478;1,986;0,3962;2,2878;1,283;0,4968;0,07;2,2;0,05;0,1
01-02-2014;chile;12,9235;1,988;0,3959;2,2879;1,282;0,5036;0,07;2,19;0,05;0,1
01-03-2014;chile;12,9578;1,995;0,3945;2,2931;1,276;0,4995;0,07;2,23;0,05;0,1
01-04-2014;chile;12,9236;1,992;0,3929;2,2966;1,269;0,497;0,07;2,26;0,05;0,09
01-05-2014;chile;13,0891;1,996;0,3924;2,297;1,267;0,4941;0,07;2,27;0,05;0,09
01-06-2014;chile;13,235;1,99;0,3906;2,3002;1,263;0,4979;0,07;2,28;0,05;0,09
01-07-2014;chile;13,0943;2,009;0,3924;2,2983;1,268;0,506;0,07;2,26;0,05;0,09
01-08-2014;chile;12,9977;1,986;0,3909;2,3009;1,264;0,5093;0,07;2,34;0,05;0,09
01-09-2014;chile;12,9713;1,981;0,3888;2,3029;1,26;0,512;0,07;2,33;0,05;0,08
01-10-2014;chile;13,1376;1,985;0,3889;2,3007;1,263;0,5095;0,07;2,35;0,05;0,08
01-11-2014;chile;12,9517;1,992;0,3897;2,3011;1,263;0,506;0,07;2,35;0,05;0,08
01-12-2014;chile;13,1582;1,97;0,3855;2,3079;1,251;0,5078;0,07;2,36;0,05;0,08
01-01-2015;chile;12,9395;1,972;0,3849;2,3083;1,25;0,7132;0,07;2,39;0,05;0,08
01-02-2015;chile;13,0867;1,992;0,3864;2,3061;1,254;0,6555;0,07;2,4;0,05;0,08
01-03-2015;chile;12,9899;2,009;0,388;2,3027;1,259;0,6069;0,07;2,3;0,05;0,08
01-04-2015;chile;13,0546;2,025;0,3891;2,2982;1,265;0,5779;0,07;2,3;0,05;0,08
01-05-2015;chile;13,0603;2,022;0,3905;2,2899;1,269;0,5639;0,07;2,29;0,05;0,08
01-06-2015;chile;12,8465;2,015;0,3911;2,2894;1,27;0,5605;0,07;2,32;0,05;0,08
01-07-2015;chile;12,5161;2,02;0,3954;2,277;1,284;0,5572;0,07;2,32;0,05;0,08
01-08-2015;chile;12,4268;2,031;0,3974;2,2684;1,29;0,553;0,07;2,33;0,05;0,08
01-09-2015;chile;12,3828;2,018;0,3946;2,2713;1,284;0,545;0,07;2,35;0,05;0,08
01-10-2015;chile;12,3939;2;0,3929;2,2721;1,281;0,5385;0,07;2,35;0,05;0,09
01-11-2015;chile;12,4358;1,975;0,3892;2,2754;1,273;0,5366;0,07;2,36;0,05;0,09
01-12-2015;chile;12,4261;1,965;0,3877;2,2759;1,27;0,5395;0,07;2,4;0,05;0,09
01-01-2016;chile;12,2375;1,974;0,3873;2,2758;1,27;0,5773;0,07;2,4;0,05;0,09
01-02-2016;chile;12,3658;1,974;0,3872;2,2744;1,272;0,5467;0,07;2,43;0,06;0,09
01-03-2016;chile;12,7795;1,979;0,3873;2,2726;1,275;0,5353;0,07;2,44;0,05;0,09
01-04-2016;chile;11,3424;1,982;0,3886;2,1882;1,348;0,5317;0,07;2,48;0,05;0,09
01-05-2016;chile;11,4839;1,994;0,3884;2,1903;1,346;0,5287;0,07;2,48;0,05;0,09
01-06-2016;chile;11,5585;1,99;0,3875;2,1884;1,347;0,5267;0,07;2,47;0,05;0,09
01-07-2016;chile;11,7841;1,987;0,3871;2,1899;1,345;0,5267;0,07;2,47;0,05;0,08
01-08-2016;chile;11,6978;1,988;0,3868;2,1912;1,343;0,5263;0,07;2,49;0,05;0,09
01-09-2016;chile;11,8743;1,998;0,388;2,19;1,346;0,5302;0,06;2,44;0,05;0,09
01-10-2016;chile;11,9181;2;0,387;2,1899;1,345;0,5323;0,06;2,43;0,05;0,08
01-11-2016;chile;11,8208;1,993;0,387;2,1937;1,34;0,5349;0,06;2,43;0,05;0,08
01-12-2016;chile;11,9249;1,989;0,3867;2,1942;1,339;0,5362;0,06;2,45;0,05;0,08
01-01-2017;chile;11,811;1,981;0,3854;2,1939;1,335;0,6048;0,06;2,44;0,05;0,09
01-02-2017;chile;11,859;1,98;0,3849;2,1954;1,334;0,5668;0,06;2,45;0,05;0,08
01-03-2017;chile;11,8242;1,982;0,3844;2,1978;1,33;0,5537;0,06;2,45;0,05;0,08
01-04-2017;chile;11,7776;1,967;0,3817;2,1993;1,326;0,5353;0,06;2,45;0,05;0,08
01-05-2017;chile;11,7578;1,958;0,3822;2,1816;1,336;0,5379;0,06;2,5;0,05;0,08
01-06-2017;chile;11,8442;1,952;0,3815;2,1816;1,336;0,5465;0,06;2,48;0,06;0,08
01-07-2017;chile;11,9103;1,958;0,3809;2,1827;1,335;0,5611;0,06;2,49;0,05;0,08
01-08-2017;chile;11,9061;1,954;0,3799;2,1838;1,333;0,5636;0,06;2,48;0,05;0,08
01-09-2017;chile;11,9894;1,97;0,3797;2,1844;1,332;0,568;0,06;2,46;0,05;0,08
