fecha;pais;ingresos;costos;porcentaje_mujeres;exportaciones;importaciones;endeudamiento;morosidad;reservas;spread;tasa_interes
01-05-2012;colombia;26,6286;2,6533;0,40532;2,24239;1,4321;0,61369;0,02;1,8;0,04;0,09
01-06-2012;colombia;25,9401;2,5323;0,39491;2,24034;1,4088;0,60937;0,02;2,4;0,04;0,09
01-07-2012;colombia;27,2383;2,6412;0,42059;2,21579;1,4709;0,60889;0,02;2,8;0,04;0,09
01-08-2012;colombia;28,10925;2,469;0,42149;2,27031;1,3736;0,60974;0,02;2,8;0,04;0,09
01-09-2012;colombia;28,82145;2,8929;0,42608;2,20878;1,5104;0,60737;0,02;3,4;0,04;0,09
01-10-2012;colombia;28,91203;2,7714;0,41173;2,2514;1,4343;0,60664;0,02;3,4;0,04;0,09
01-11-2012;colombia;28,55547;2,7258;0,39552;2,25676;1,4299;0,60474;0,02;4,2;0,04;0,09
01-12-2012;colombia;27,88286;2,8968;0,41172;2,21978;1,5154;0,60572;0,02;4,2;0,05;0,09
01-01-2013;colombia;29,85028;2,9184;0,43048;2,23711;1,4981;0,6113;0,02;0,6;0,04;0,08
01-02-2013;colombia;30,21116;2,7907;0,40433;2,23986;1,4644;0,61528;0,02;1,2;0,04;0,08
01-03-2013;colombia;30,05647;2,9145;0,41811;2,24601;1,4657;0,61508;0,02;1,8;0,04;0,08
01-04-2013;colombia;29,88618;3,0533;0,43939;2,17142;1,6104;0,61792;0,02;2,1;0,04;0,07
01-05-2013;colombia;29,61775;2,8931;0,41201;2,24318;1,4806;0,62164;0,02;1,9;0,04;0,07
01-06-2013;colombia;16,49069;3,0747;0,44519;2,21544;1,5536;0,6254;0,02;2,7;0,04;0,07
01-07-2013;colombia;16,83059;2,9987;0,4414;2,2331;1,5191;0,6285;0,02;2,8;0,04;0,07
01-08-2013;colombia;15,36976;2,9385;0,42722;2,21405;1,5429;0,62918;0,02;3,9;0,04;0,07
01-09-2013;colombia;15,6053;2,7576;0,42457;2,25098;1,4651;0,6327;0,02;4,2;0,04;0,07
01-10-2013;colombia;14,41912;2,6574;0,40761;2,29182;1,3753;0,63522;0,02;3,6;0,04;0,07
01-11-2013;colombia;14,49495;2,6598;0,40142;2,29608;1,3781;0,6392;0,02;5;0,04;0,07
01-12-2013;colombia;14,50207;2,7937;0,42516;2,27552;1,433;0,64114;0,02;4,2;0,04;0,07
01-01-2014;colombia;9,20692;2,735;0,41785;2,2874;1,4093;0,65596;0,02;0,6;0,04;0,07
01-02-2014;colombia;9,37223;2,5912;0,392;2,30215;1,3535;0,65723;0,02;1,1;0,04;0,07
01-03-2014;colombia;10,89461;2,7705;0,41753;2,2405;1,4827;0,65164;0,02;1,5;0,04;0,07
01-04-2014;colombia;10,73491;2,683;0,40221;2,28627;1,3945;0,6519;0,02;1,6;0,04;0,07
01-05-2014;colombia;10,62905;2,8298;0,43436;2,25097;1,4664;0,65334;0,02;2,2;0,04;0,07
01-06-2014;colombia;10,13414;2,631;0,4078;2,26898;1,4145;0,65096;0,02;2,6;0,03;0,07
01-07-2014;colombia;10,09087;2,7097;0,42158;2,29054;1,408;0,65171;0,02;2,7;0,03;0,07
01-08-2014;colombia;10,00133;2,8197;0,41672;2,27778;1,4388;0,64973;0,02;3,8;0,03;0,07
01-09-2014;colombia;9,9838;2,6747;0,40691;2,29595;1,3812;0,65215;0,02;4,1;0,03;0,07
01-10-2014;colombia;9,72723;2,5622;0,4071;2,31212;1,3371;0,65055;0,02;3,3;0,04;0,08
01-11-2014;colombia;18,23247;3,1699;0,46742;2,20181;1,6211;0,65027;0,02;4,4;0,03;0,08
01-12-2014;colombia;17,89902;3,0324;0,44827;2,21968;1,5598;0,64325;0,02;3,7;0,03;0,08
01-01-2015;colombia;17,69725;2,9017;0,44486;2,271;1,4699;0,07578;0,02;0,6;0,03;0,08
01-02-2015;colombia;19,87569;2,7093;0,38998;2,32539;1,3788;0,10211;0,02;0,9;0,02;0,07
01-03-2015;colombia;19,16699;2,7297;0,42107;2,2811;1,4521;0,11845;0,02;1,2;0,03;0,08
01-04-2015;colombia;20,0126;2,7953;0,41093;2,29813;1,4443;0,12698;0,02;1,1;0,03;0,08
