fecha;pais;ingresos;costos;procentaje_muejeres;exportaciones;importaciones;endeudamiento;morosidad;reservas;spread;tasa_interes
01-05-2012;peru;14,0194;3,3039;0,55537;1,97253;1,9637;0,71935;0,0225;0,135096;0,047912;0,067612
01-06-2012;peru;14,25261;3,3227;0,55622;1,97222;1,9684;0,72088;0,0237;0,088028;0,047041;0,067741
01-07-2012;peru;13,55008;3,2974;0,55297;1,97393;1,9583;0,7213;0,0249;0,089651;0,045546;0,067746
01-08-2012;peru;13,41888;3,2957;0,55347;1,97302;1,9594;0,72168;0,0246;7,74708;0,043814;0,067414
01-09-2012;peru;13,24569;3,3319;0,55791;1,96928;1,9755;0,7213;0,0252;0,291922;0,043359;0,067259
01-10-2012;peru;13,02833;3,3073;0,55586;1,97334;1,9639;0,7225;0,0263;0,157752;0,043076;0,067476
01-11-2012;peru;13,18744;3,333;0,55755;1,97257;1,9719;0,72073;0,0255;0,211624;0,046146;0,067246
01-12-2012;peru;13,70679;3,3384;0,55605;1,97687;1,9673;0,72251;0,025;0,14613;0,049044;0,066844
01-01-2013;peru;13,7429;3,3458;0,55491;1,98222;1,9653;0,85544;0,0277;0,153124;0,050482;0,065782
01-02-2013;peru;13,63995;3,3518;0,55362;1,97921;1,9681;0,85264;0,0291;0,161762;0,052037;0,065037
01-03-2013;peru;14,12164;3,315;0,55248;1,98323;1,955;0,85109;0,0297;0,127632;0,055715;0,064915
01-04-2013;peru;14,21724;3,2881;0,55218;1,98118;1,9527;0,85439;0,031;0,135124;0,055322;0,065822
01-05-2013;peru;14,08077;3,2964;0,55248;1,9815;1,9535;0,85773;0,0324;0,160992;0,054913;0,066213
01-06-2013;peru;14,17758;3,3052;0,55348;1,97643;1,9625;0,85937;0,0329;0,174254;0,055611;0,066511
01-07-2013;peru;13,84117;3,3342;0,55371;1,97287;1,9712;0,86148;0,0347;0,169813;0,055644;0,066544
01-08-2013;peru;13,64864;3,3218;0,55307;1,9697;1,972;0,86299;0,0348;0,13041;0,055277;0,066577
01-09-2013;peru;13,44384;3,3186;0,55217;1,97069;1,9691;0,86456;0,0355;0,12925;0,055722;0,066622
01-10-2013;peru;13,18218;3,3493;0,55474;1,9649;1,9842;0,85245;0,0369;0,118864;0,055901;0,066701
01-11-2013;peru;13,1612;3,2967;0,55426;1,9636;1,9767;0,85364;0,0358;0,155108;0,055774;0,066874
01-12-2013;peru;13,16878;3,2548;0,55127;1,96902;1,961;0,85481;0,0366;0,129775;0,056026;0,067226
01-01-2014;peru;13,36635;3,2863;0,55261;1,9629;1,9746;0,87328;0,0386;0,146268;0,055445;0,066545
01-02-2014;peru;13,3011;3,2997;0,55436;1,96194;1,9799;0,87252;0,039;0,133854;0,054044;0,066644
01-03-2014;peru;13,84268;3,2413;0,54989;1,96513;1,9623;0,8726;0,0377;0,232952;0,052461;0,066961
01-04-2014;peru;13,92831;3,2661;0,55018;1,96285;1,9695;0,87289;441,08;0,129469;0,050852;0,066252
01-05-2014;peru;13,86296;3,2543;0,54966;1,96615;1,9635;0,87255;0,0416;0,153935;0,049092;0,066392
01-06-2014;peru;13,72051;3,2791;0,55224;1,96149;1,9754;0,87197;0,0389;0,136086;0,047139;0,065939
01-07-2014;peru;13,43517;3,2803;0,55149;1,96106;1,9756;0,87153;0,0433;0,129474;0,043405;0,065305
01-08-2014;peru;13,40789;3,2921;0,55122;1,95827;1,9807;0,87151;0,0423;0,14317;0,041695;0,064795
01-09-2014;peru;14,07369;3,2839;0,5491;1,96271;1,972;0,87183;0,0431;0,144829;0,038693;0,064093
