fecha;pais;ingresos;costos;procentaje_muejeres;exportaciones;importaciones;endeudamiento;morosidad;reservas;spread;tasa_interes
01-05-2012;chile;12,7472;2,008;0,4009;2,2597;1,315;0,4735;0,0657;2,0728;0,133;0,1815
01-06-2012;chile;12,9094;2,006;0,401;2,2592;1,315;0,4765;0,0661;2,0586;0,1334;0,1825
01-07-2012;chile;13,0519;2,043;0,4038;2,2576;1,32;0,4805;0,0666;2,0601;0,1314;0,1808
01-08-2012;chile;12,8967;2,012;0,4001;2,2625;1,31;0,4834;0,0627;2,0854;0,1332;0,1816
01-09-2012;chile;12,9847;1,996;0,3979;2,2645;1,305;0,4827;0,0593;2,0696;0,1319;0,1808
01-10-2012;chile;12,9924;1,978;0,3954;2,2674;1,3;0,4774;0,0693;2,0316;0,1297;0,1792
01-11-2012;chile;12,9615;1,98;0,3945;2,2665;1,299;0,4741;0,0663;2,0224;0,1344;0,1844
01-12-2012;chile;13,1064;1,971;0,3925;2,275;1,29;0,4779;0,0726;1,998;0,1348;0,1826
01-01-2013;chile;13,1038;1,965;0,3941;2,266;1,297;0,5202;0,0746;2,0324;0,1319;0,1774
01-02-2013;chile;13,2994;1,954;0,3921;2,2673;1,294;0,5107;0,0766;2,0396;0,1278;0,1786
01-03-2013;chile;13,4229;1,962;0,3931;2,2695;1,293;0,5059;0,0793;2,0561;0,1281;0,1788
01-04-2013;chile;13,1099;1,962;0,3928;2,272;1,29;0,5032;0,0866;2,1196;0,1254;0,1757
01-05-2013;chile;12,9601;1,949;0,3909;2,2765;1,284;0,5122;0,0785;2,1217;0,124;0,1745
01-06-2013;chile;12,9019;1,971;0,3917;2,2789;1,283;0,5159;0,0741;2,0341;0,1223;0,1726
01-07-2013;chile;12,8204;1,968;0,391;2,2798;1,282;0,5323;0,0665;2,0704;0,1197;0,1705
01-08-2013;chile;12,6458;1,968;0,3942;2,2788;1,287;0,5051;0,0609;2,1019;0,1222;0,1726
01-09-2013;chile;12,9072;1,982;0,3978;2,2781;1,293;0,5041;0,0612;2,1388;0,1205;0,1711
01-10-2013;chile;12,9875;1,985;0,3947;2,2824;1,284;0,5012;0,0626;2,1686;0,1212;0,1705
01-11-2013;chile;12,7486;1,972;0,3948;2,2822;1,285;0,5029;0,065;2,1692;0,1224;0,1692
01-12-2013;chile;13,0782;1,986;0,3972;2,2836;1,288;0,5026;0,0665;2,1721;0,1227;0,168
01-01-2014;chile;12,8478;1,986;0,3962;2,2878;1,283;0,4968;0,0622;2,1951;0,1216;0,1666
01-02-2014;chile;12,9235;1,988;0,3959;2,2879;1,282;0,5036;0,0696;2,1915;0,1269;0,1711
01-03-2014;chile;12,9578;1,995;0,3945;2,2931;1,276;0,4995;0,0644;2,2327;0,1257;0,167
01-04-2014;chile;12,9236;1,992;0,3929;2,2966;1,269;0,497;0,0651;2,256;0,1181;0,1582
01-05-2014;chile;13,0891;1,996;0,3924;2,297;1,267;0,4941;0,0573;2,2743;0,1156;0,1557
01-06-2014;chile;13,235;1,99;0,3906;2,3002;1,263;0,4979;0,0601;2,2838;0,1145;0,1546
01-07-2014;chile;13,0943;2,009;0,3924;2,2983;1,268;0,506;0,0603;2,2619;0,114;0,1529
01-08-2014;chile;12,9977;1,986;0,3909;2,3009;1,264;0,5093;0,06;2,3357;0,1138;0,1502
01-09-2014;chile;12,9713;1,981;0,3888;2,3029;1,26;0,512;0,0599;2,3284;0,1157;0,1493
01-10-2014;chile;13,1376;1,985;0,3889;2,3007;1,263;0,5095;0,0573;2,3496;0,1111;0,1428
01-11-2014;chile;12,9517;1,992;0,3897;2,3011;1,263;0,506;0,0583;2,3521;0,106;0,1362
01-12-2014;chile;13,1582;1,97;0,3855;2,3079;1,251;0,5078;0,0585;2,3591;0,1068;0,137
01-01-2015;chile;12,9395;1,972;0,3849;2,3083;1,25;0,7132;0,0588;2,3931;0,1171;0,1473
01-02-2015;chile;13,0867;1,992;0,3864;2,3061;1,254;0,6555;0,0571;2,3971;0,1222;0,1524
01-03-2015;chile;12,9899;2,009;0,388;2,3027;1,259;0,6069;0,0575;2,3047;0,1224;0,1526
01-04-2015;chile;13,0546;2,025;0,3891;2,2982;1,265;0,5779;0,0578;2,3042;0,1192;0,1494
01-05-2015;chile;13,0603;2,022;0,3905;2,2899;1,269;0,5639;0,056;2,2921;0,1177;0,1478
01-06-2015;chile;12,8465;2,015;0,3911;2,2894;1,27;0,5605;0,0564;2,3201;0,1182;0,1483
01-07-2015;chile;12,5161;2,02;0,3954;2,277;1,284;0,5572;0,05;2,3183;0,1184;0,1485
01-08-2015;chile;12,4268;2,031;0,3974;2,2684;1,29;0,553;0,0489;2,3338;0,1217;0,1519
01-09-2015;chile;12,3828;2,018;0,3946;2,2713;1,284;0,545;0,0534;2,3492;0,1208;0,151
01-10-2015;chile;12,3939;2;0,3929;2,2721;1,281;0,5385;0,0578;2,3548;0,1153;0,1468
01-11-2015;chile;12,4358;1,975;0,3892;2,2754;1,273;0,5366;0,0588;2,3575;0,1093;0,142
01-12-2015;chile;12,4261;1,965;0,3877;2,2759;1,27;0,5395;0,0587;2,4001;0,1082;0,1419
01-01-2016;chile;12,2375;1,974;0,3873;2,2758;1,27;0,5773;0,0579;2,4048;0,1095;0,1448
01-02-2016;chile;12,3658;1,974;0,3872;2,2744;1,272;0,5467;0,0593;2,4271;0,1207;0,1559
01-03-2016;chile;12,7795;1,979;0,3873;2,2726;1,275;0,5353;0,0596;2,4426;0,1209;0,1562
01-04-2016;chile;11,3424;1,982;0,3886;2,1882;1,348;0,5317;0,063;2,4788;0,119;0,1543
01-05-2016;chile;11,4839;1,994;0,3884;2,1903;1,346;0,5287;0,0609;2,476;0,1192;0,1544
01-06-2016;chile;11,5585;1,99;0,3875;2,1884;1,347;0,5267;0,0533;2,468;0,1171;0,1524
01-07-2016;chile;11,7841;1,987;0,3871;2,1899;1,345;0,5267;0,0543;2,4668;0,1178;0,1532
01-08-2016;chile;11,6978;1,988;0,3868;2,1912;1,343;0,5263;0,0493;2,4888;0,1201;0,1556
01-09-2016;chile;11,8743;1,998;0,388;2,19;1,346;0,5302;0,0514;2,4415;0,1191;0,1545
01-10-2016;chile;11,9181;2;0,387;2,1899;1,345;0,5323;0,0529;2,4271;0,1161;0,1514
