fecha;pais;ingresos;costos;porcentaje_mujeres;exportaciones;importaciones;endeudamiento;morosidad;reservas;spread;tasa_interes
01-05-2012;colombia;26,6286;2,6533;0,40532;2,24239;1,4321;0,61369;0,04499;1,7818;0,30808;0,36075
01-06-2012;colombia;25,9401;2,5323;0,39491;2,24034;1,4088;0,60937;0,04569;2,3864;0,303;0,35601
01-07-2012;colombia;27,2383;2,6412;0,42059;2,21579;1,4709;0,60889;0,04667;2,8498;0,30333;0,35684
01-08-2012;colombia;28,10925;2,469;0,42149;2,27031;1,3736;0,60974;0,04729;2,7638;0,30274;0,35399
01-09-2012;colombia;28,82145;2,8929;0,42608;2,20878;1,5104;0,60737;0,04909;3,3718;0,29934;0,34716
01-10-2012;colombia;28,91203;2,7714;0,41173;2,2514;1,4343;0,60664;0,04869;3,4217;0,28992;0,33766
01-11-2012;colombia;28,55547;2,7258;0,39552;2,25676;1,4299;0,60474;0,05101;4,1696;0,27966;0,32652
01-12-2012;colombia;27,88286;2,8968;0,41172;2,21978;1,5154;0,60572;0,05024;4,2166;0,27149;0,3164
01-01-2013;colombia;29,85028;2,9184;0,43048;2,23711;1,4981;0,6113;0,05234;0,6363;0,29836;0,34031
01-02-2013;colombia;30,21116;2,7907;0,40433;2,23986;1,4644;0,61528;0,05499;1,1632;0,29844;0,33807
01-03-2013;colombia;30,05647;2,9145;0,41811;2,24601;1,4657;0,61508;0,05887;1,756;0,29074;0,32763
01-04-2013;colombia;29,88618;3,0533;0,43939;2,17142;1,6104;0,61792;0,05766;2,1303;0,30258;0,3341
01-05-2013;colombia;29,61775;2,8931;0,41201;2,24318;1,4806;0,62164;0,05725;1,9408;0,30494;0,33689
01-06-2013;colombia;16,49069;3,0747;0,44519;2,21544;1,5536;0,6254;0,05875;2,7168;0,3128;0,34446
01-07-2013;colombia;16,83059;2,9987;0,4414;2,2331;1,5191;0,6285;0,0594;2,8271;0,3107;0,34277
01-08-2013;colombia;15,36976;2,9385;0,42722;2,21405;1,5429;0,62918;0,0611;3,8917;0,3138;0,34648
01-09-2013;colombia;15,6053;2,7576;0,42457;2,25098;1,4651;0,6327;0,06134;4,1703;0,30872;0,3415
01-10-2013;colombia;14,41912;2,6574;0,40761;2,29182;1,3753;0,63522;0,06035;3,6497;0,31081;0,34358
01-11-2013;colombia;14,49495;2,6598;0,40142;2,29608;1,3781;0,6392;0,06139;5,0327;0,31194;0,34453
01-12-2013;colombia;14,50207;2,7937;0,42516;2,27552;1,433;0,64114;0,06216;4,2098;0,31606;0,34844
01-01-2014;colombia;9,20692;2,735;0,41785;2,2874;1,4093;0,65596;0,0667;0,6347;0,32145;0,35385
01-02-2014;colombia;9,37223;2,5912;0,392;2,30215;1,3535;0,65723;0,06849;1,071;0,31684;0,34937
01-03-2014;colombia;10,89461;2,7705;0,41753;2,2405;1,4827;0,65164;0,0688;1,5433;0,31559;0,34719
01-04-2014;colombia;10,73491;2,683;0,40221;2,28627;1,3945;0,6519;0,06904;1,5667;0,31275;0,34527
01-05-2014;colombia;10,62905;2,8298;0,43436;2,25097;1,4664;0,65334;0,06899;2,1718;0,30911;0,34375
01-06-2014;colombia;10,13414;2,631;0,4078;2,26898;1,4145;0,65096;0,0718;2,5693;0,30687;0,34484
01-07-2014;colombia;10,09087;2,7097;0,42158;2,29054;1,408;0,65171;0,07092;2,7374;0,30751;0,34677
01-08-2014;colombia;10,00133;2,8197;0,41672;2,27778;1,4388;0,64973;0,07187;3,8315;0,30347;0,34472
01-09-2014;colombia;9,9838;2,6747;0,40691;2,29595;1,3812;0,65215;0,07145;4,0731;0,30163;0,34582
01-10-2014;colombia;9,72723;2,5622;0,4071;2,31212;1,3371;0,65055;0,073;3,3071;0,29942;0,34441
01-11-2014;colombia;18,23247;3,1699;0,46742;2,20181;1,6211;0,65027;0,07499;4,4307;0,29887;0,34391
01-12-2014;colombia;17,89902;3,0324;0,44827;2,21968;1,5598;0,64325;0,07393;3,6654;0,29961;0,3447
01-01-2015;colombia;17,69725;2,9017;0,44486;2,271;1,4699;0,07578;0,07552;0,6251;0,30588;0,35115
01-02-2015;colombia;19,87569;2,7093;0,38998;2,32539;1,3788;0,10211;0,06453;0,8721;0,31486;0,36003
01-03-2015;colombia;19,16699;2,7297;0,42107;2,2811;1,4521;0,11845;0,06697;1,2214;0,31703;0,36204
01-04-2015;colombia;20,0126;2,7953;0,41093;2,29813;1,4443;0,12698;0,06438;1,1133;0,3144;0,35959
01-05-2015;colombia;19,67655;2,8168;0,42035;2,3184;1,4155;0,11847;0,06203;1,6877;0,31374;0,35891
01-06-2015;colombia;9,84571;2,7504;0,41918;2,34077;1,374;0,11354;0,06396;1,9089;0,31398;0,35918
01-07-2015;colombia;9,61699;3,0578;0,43574;2,30151;1,5031;0,10206;0,06408;1,9319;0,31502;0,36037
01-08-2015;colombia;9,33463;2,9818;0,44888;2,23985;1,5477;0,09699;0,06406;2,3564;0,3157;0,36093
01-09-2015;colombia;9,43625;3,0361;0,44016;2,29649;1,5017;0,09882;0,06392;1,9508;0,31357;0,35921
01-10-2015;colombia;9,45247;2,8946;0,41561;2,32998;1,4148;0,10149;0,06449;2,8337;0,31222;0,36072
01-11-2015;colombia;9,25828;2,7482;0,43015;2,30433;1,4193;0,09479;0,06629;3,1548;0,3128;0,36436
01-12-2015;colombia;9,18071;2,7585;0,4304;2,32916;1,3969;0,09235;0,06517;2,4665;0,30775;0,3636
01-01-2016;colombia;9,03206;2,6619;0,44609;2,29301;1,4406;0,05649;0,06779;0,4603;0,31416;0,37198
01-02-2016;colombia;8,80608;2,9469;0,45532;2,26144;1,5216;0,08303;0,06824;0,6833;0,31004;0,37084
01-03-2016;colombia;9,87674;2,6474;0,44202;2,33094;1,3958;0,10313;0,07014;0,8247;0,30865;0,37191
01-04-2016;colombia;10,07324;2,7989;0,45924;2,29478;1,4734;0,09997;0,06975;1,2095;0,30947;0,37446
01-05-2016;colombia;9,93051;2,9778;0,44672;2,29914;1,4886;0,09711;0,07121;1,5615;0,30284;0,37308
01-06-2016;colombia;9,3525;2,6472;0,42973;2,33568;1,3856;0,11798;0,07163;1,3517;0,29739;0,37073
01-07-2016;colombia;9,2405;2,8879;0,4577;2,3103;1,4649;0,1098;0,07231;2,1268;0,29693;0,37158
01-08-2016;colombia;9,26251;2,9923;0,45989;2,29409;1,5056;0,10782;0,07173;1,8151;0,29516;0,37286
01-09-2016;colombia;9,74977;2,89;0,4641;2,32122;1,4662;0,10704;0,07001;2,2957;0,29833;0,37594
01-10-2016;colombia;9,81017;2,8798;0,4572;2,29732;1,4855;0,11837;0,07208;2,765;0,2985;0,37606
01-11-2016;colombia;9,52877;2,9369;0,46548;2,30334;1,4942;0,11161;0,07401;2,2709;0,30234;0,37984
01-12-2016;colombia;9,60725;2,8111;0,43063;2,32218;1,4271;0,10957;0,07285;2,6637;0,30259;0,37909
01-01-2017;colombia;9,55997;3,2693;0,48914;2,23834;1,6615;0,08522;0,07568;0,5729;0,30481;0,37986
01-02-2017;colombia;9,53303;3,0855;0,46055;2,27889;1,5476;0,08847;0,0769;0,7973;0,30524;0,37999
01-03-2017;colombia;10,5301;3,1484;0,48168;2,27407;1,5867;0,10515;0,07613;0,9463;0,29916;0,37109
01-04-2017;colombia;10,4976;3,1963;0,48784;2,24499;1,6226;0,10136;0,07915;1,4102;0,30091;0,37085
01-05-2017;colombia;10,45939;2,9056;0,48338;2,26742;1,5449;0,09708;0,07933;1,2392;0,30542;0,37027
01-06-2017;colombia;10,33555;3,0034;0,46385;2,27663;1,5328;0,08995;0,07811;1,709;0,30565;0,3682
01-07-2017;colombia;10,40476;3,3073;0,49623;2,23609;1,6665;0,09115;0,0778;2,1368;0,31447;0,37175
01-08-2017;colombia;10,44289;3,0553;0,45613;2,30481;1,519;0,08854;0,07785;1,8208;0,31299;0,3683
01-09-2017;colombia;10,31183;3,2309;0,47866;2,25672;1,6211;0,08659;0,07721;2,522;0,31476;0,36736
