fecha;pais;ingresos;costos;porcentaje_mujeres;exportaciones;importaciones;endeudamiento;morosidad;reservas;spread;tasa_interes
01-05-2012;peru;14,0194;3,304;0,5554;1,9725;1,964;0,7193;0,0241;1,351;0,13542;0,15512
01-06-2012;peru;14,2526;3,323;0,5562;1,9722;1,968;0,7209;0,0233;0,8803;0,1349;0,1556
01-07-2012;peru;13,5501;3,297;0,553;1,9739;1,958;0,7213;0,0265;0,8965;0,13224;0,15444
01-08-2012;peru;13,4189;3,296;0,5535;1,973;1,959;0,7217;0,0269;3,456;0,13184;0,15544
01-09-2012;peru;13,2457;3,332;0,5579;1,9693;1,976;0,7213;0,0284;2,9192;0,12941;0,15331
01-10-2012;peru;13,0283;3,307;0,5559;1,9733;1,964;0,7225;0,0276;1,5775;0,12871;0,15311
01-11-2012;peru;13,1874;3,333;0,5576;1,9726;1,972;0,7207;0,0266;2,1162;0,13299;0,15409
01-12-2012;peru;13,7068;3,338;0,5561;1,9769;1,967;0,7225;0,0269;1,4613;0,13372;0,15152
01-01-2013;peru;13,7429;3,346;0,5549;1,9822;1,965;0,8554;0,0269;1,5312;0,13369;0,14899
01-02-2013;peru;13,6399;3,352;0,5536;1,9792;1,968;0,8526;0,0276;1,6176;0,13492;0,14792
01-03-2013;peru;14,1216;3,315;0,5525;1,9832;1,955;0,8511;0,0303;1,2763;0,13795;0,14715
01-04-2013;peru;14,2172;3,288;0,5522;1,9812;1,953;0,8544;0,0317;1,3512;0,13807;0,14857
01-05-2013;peru;14,0808;3,296;0,5525;1,9815;1,954;0,8577;0,034;1,6099;0,13849;0,14979
01-06-2013;peru;14,1776;3,305;0,5535;1,9764;1,962;0,8594;0,0353;1,7425;0,14046;0,15136
01-07-2013;peru;13,8412;3,334;0,5537;1,9729;1,971;0,8615;0,0357;1,6981;0,14041;0,15131
01-08-2013;peru;13,6486;3,322;0,5531;1,9697;1,972;0,863;0,0355;1,3041;0,14025;0,15155
01-09-2013;peru;13,4438;3,319;0,5522;1,9707;1,969;0,8646;0,0381;1,2925;0,1406;0,1515
01-10-2013;peru;13,1822;3,349;0,5547;1,9649;1,984;0,8524;0,0381;1,1886;0,14112;0,15192
01-11-2013;peru;13,1612;3,297;0,5543;1,9636;1,977;0,8536;0,0366;1,5511;0,14128;0,15238
01-12-2013;peru;13,1688;3,255;0,5513;1,969;1,961;0,8548;0,0364;1,2977;0,14134;0,15254
01-01-2014;peru;13,3664;3,286;0,5526;1,9629;1,975;0,8733;0,0377;1,4627;0,14408;0,15518
01-02-2014;peru;13,3011;3,3;0,5544;1,9619;1,98;0,8725;0,0401;1,3385;0,1422;0,1548
01-03-2014;peru;13,8427;3,241;0,5499;1,9651;1,962;0,8726;0,0386;2,3295;0,14043;0,15493
01-04-2014;peru;13,9283;3,266;0,5502;1,9629;1,97;0,8729;0,0379;1,2947;0,13876;0,15416
01-05-2014;peru;13,863;3,254;0,5497;1,9662;1,964;0,8726;0,0399;1,5393;0,13551;0,15281
01-06-2014;peru;13,7205;3,279;0,5522;1,9615;1,975;0,872;0,0404;1,3609;0,13188;0,15068
01-07-2014;peru;13,4352;3,28;0,5515;1,9611;1,976;0,8715;0,0403;1,2947;0,1278;0,1497
01-08-2014;peru;13,4079;3,292;0,5512;1,9583;1,981;0,8715;0,0383;1,4317;0,126;0,1491
01-09-2014;peru;14,0737;3,284;0,5491;1,9627;1,972;0,8718;0,0384;1,4483;0,12293;0,14833
01-10-2014;peru;14,0636;3,322;0,5523;1,9623;1,982;0,8726;0,038;1,329;0,12116;0,14716
01-11-2014;peru;13,9195;3,312;0,5515;1,9653;1,977;0,8725;0,0372;1,3987;0,1186;0,1466
01-12-2014;peru;13,6471;3,34;0,552;1,963;1,986;0,8736;0,0393;1,2818;0,11695;0,14735
01-01-2015;peru;13,5036;3,355;0,5496;1,9585;1,991;0,8918;0,0413;1,6044;0,11522;0,14772
01-02-2015;peru;13,5502;3,344;0,5513;1,9593;1,989;0,888;0,0438;1,5225;0,11542;0,14642
01-03-2015;peru;13,9822;3,301;0,5428;1,9862;1,936;0,8889;0,0417;1,2595;0,11303;0,14593
01-04-2015;peru;13,9286;3,31;0,5426;1,982;1,943;0,8891;0,0421;1,3694;0,11117;0,14637
01-05-2015;peru;13,873;3,299;0,5426;1,9662;1,959;0,8878;0,0428;1,5707;0,11216;0,14806
01-06-2015;peru;13,7778;3,252;0,5402;1,9712;1,942;0,8875;0,0418;1,3939;0,10551;0,14591
01-07-2015;peru;14,0092;3,248;0,5387;1,9743;1,937;0,8873;0,0402;1,4346;0,10412;0,14602
01-08-2015;peru;13,7981;3,324;0,542;1,967;1,962;0,8883;0,0393;1,5024;0,10574;0,14714
01-09-2015;peru;13,7091;3,311;0,5399;1,966;1,959;0,8886;0,0322;1,4669;0,1048;0,146
01-10-2015;peru;13,7973;3,29;0,5379;1,9698;1,948;0,8878;0,0323;1,4387;0,10133;0,14383
01-11-2015;peru;13,6061;3,288;0,5378;1,9704;1,947;0,7107;0,0303;1,5537;0,09987;0,14447
01-12-2015;peru;13,6962;3,272;0,5386;1,9735;1,941;0,7045;0,0294;1,2339;0,09298;0,14138
01-01-2016;peru;13,5753;3,305;0,5376;1,9703;1,951;0,6579;0,0303;1,4786;0,09158;0,13958
01-02-2016;peru;13,5396;3,292;0,5401;1,9657;1,955;0,6896;0,0316;1,6669;0,08489;0,13709
01-03-2016;peru;14,2483;3,325;0,5428;1,9677;1,961;0,6891;0,0323;1,4978;0,08648;0,13878
01-04-2016;peru;14,2621;3,306;0,5402;1,9715;1,951;0,6987;0,0331;1,886;0,0807;0,1331
01-05-2016;peru;14,4629;3,292;0,5388;1,9773;1,941;0,7288;0,0334;1,2312;0,07637;0,12917
01-06-2016;peru;14,4987;3,274;0,5362;1,9812;1,93;0,7166;0,0319;1,2616;0,0751;0,1285
01-07-2016;peru;14,8463;3,246;0,5344;1,9819;1,924;0,7241;0,0338;1,2369;0,06856;0,12226
01-08-2016;peru;14,9946;3,239;0,5326;1,981;1,921;0,7327;0,0328;1,1243;0,06439;0,11919
01-09-2016;peru;14,9286;3,263;0,5335;1,9764;1,932;0,7352;0,0301;1,3454;0,05933;0,11463
01-10-2016;peru;14,9322;3,24;0,5326;1,9785;1,924;0,738;0,0301;1,224;0,05836;0,11346
01-11-2016;peru;14,8967;3,263;0,5337;1,9765;1,932;0,7396;0,0301;0,999;0,05772;0,11322
01-12-2016;peru;14,7595;3,251;0,5375;1,9722;1,938;0,7388;0,0301;1,074;0,05012;0,11172
01-01-2017;peru;14,8923;3,258;0,5345;1,9745;1,933;0,7186;0,0301;1,0853;0,05443;0,11113
01-02-2017;peru;14,9045;3,277;0,5323;1,9746;1,935;0,7231;0,0322;1,0243;0,04971;0,11021
01-03-2017;peru;15,5129;3,202;0,5234;1,9832;1,906;0,7272;0,0354;1,0611;0,05524;0,11224
01-04-2017;peru;15,5842;3,234;0,5214;1,985;1,909;0,7327;0,0354;1,2205;0,06203;0,11603
01-05-2017;peru;15,5477;3,221;0,5212;1,9866;1,904;0,7373;0,035;1,0511;0,05689;0,11749
01-06-2017;peru;15,4292;3,188;0,5207;1,9895;1,893;0,7348;0,0344;1,1079;0,06193;0,11483
01-07-2017;peru;15,6175;3,223;0,519;1,9841;1,907;0,7374;0,0353;1,1468;0,05159;0,11079
01-08-2017;peru;15,6363;3,187;0,5178;1,9883;1,895;0,7387;0,0343;0,985;0,05503;0,11193
01-09-2017;peru;15,4747;3,165;0,5244;1,9838;1,899;0,736;0,0301;0,9986;0,0411;0,1067
