fecha;pais;ingresos;costos;porcentaje_mujeres;exportaciones;importaciones;endeudamiento;morosidad;reservas;spread;tasa_interes
01-05-2012;colombia;26,6286;2,6533;0,40532;2,24239;1,4321;0,61369;0,04499;1,7818;0,07023;0,1229
01-06-2012;colombia;25,9401;2,5323;0,39491;2,24034;1,4088;0,60937;0,04569;2,3864;0,06878;0,1218
01-07-2012;colombia;27,2383;2,6412;0,42059;2,21579;1,4709;0,60889;0,04667;2,8498;0,06639;0,1199
01-08-2012;colombia;28,10925;2,469;0,42149;2,27031;1,3736;0,60974;0,04729;2,7638;0,07145;0,1227
01-09-2012;colombia;28,82145;2,8929;0,42608;2,20878;1,5104;0,60737;0,04909;3,3718;0,07068;0,1185
01-10-2012;colombia;28,91203;2,7714;0,41173;2,2514;1,4343;0,60664;0,04869;3,4217;0,07256;0,1203
01-11-2012;colombia;28,55547;2,7258;0,39552;2,25676;1,4299;0,60474;0,05101;4,1696;0,07144;0,1183
01-12-2012;colombia;27,88286;2,8968;0,41172;2,21978;1,5154;0,60572;0,05024;4,2166;0,07059;0,1155
01-01-2013;colombia;29,85028;2,9184;0,43048;2,23711;1,4981;0,6113;0,05234;0,6363;0,07326;0,1152
01-02-2013;colombia;30,21116;2,7907;0,40433;2,23986;1,4644;0,61528;0,05499;1,1632;0,07037;0,11
01-03-2013;colombia;30,05647;2,9145;0,41811;2,24601;1,4657;0,61508;0,05887;1,756;0,07252;0,1094
01-04-2013;colombia;29,88618;3,0533;0,43939;2,17142;1,6104;0,61792;0,05766;2,1303;0,07258;0,1041
01-05-2013;colombia;29,61775;2,8931;0,41201;2,24318;1,4806;0,62164;0,05725;1,9408;0,06594;0,0979
01-06-2013;colombia;16,49069;3,0747;0,44519;2,21544;1,5536;0,6254;0,05875;2,7168;0,06604;0,0977
01-07-2013;colombia;16,83059;2,9987;0,4414;2,2331;1,5191;0,6285;0,0594;2,8271;0,06913;0,1012
01-08-2013;colombia;15,36976;2,9385;0,42722;2,21405;1,5429;0,62918;0,0611;3,8917;0,07282;0,1055
01-09-2013;colombia;15,6053;2,7576;0,42457;2,25098;1,4651;0,6327;0,06134;4,1703;0,07191;0,1047
01-10-2013;colombia;14,41912;2,6574;0,40761;2,29182;1,3753;0,63522;0,06035;3,6497;0,07083;0,1036
01-11-2013;colombia;14,49495;2,6598;0,40142;2,29608;1,3781;0,6392;0,06139;5,0327;0,06951;0,1021
01-12-2013;colombia;14,50207;2,7937;0,42516;2,27552;1,433;0,64114;0,06216;4,2098;0,06563;0,098
01-01-2014;colombia;9,20692;2,735;0,41785;2,2874;1,4093;0,65596;0,0667;0,6347;0,07171;0,1041
01-02-2014;colombia;9,37223;2,5912;0,392;2,30215;1,3535;0,65723;0,06849;1,071;0,06647;0,099
01-03-2014;colombia;10,89461;2,7705;0,41753;2,2405;1,4827;0,65164;0,0688;1,5433;0,06991;0,1015
01-04-2014;colombia;10,73491;2,683;0,40221;2,28627;1,3945;0,6519;0,06904;1,5667;0,06748;0,1
